epoch,total_loss,mse_loss,batch_loss_running_mean,optimizer_step,elapsed_seconds
42,1.8822892904281616,1.8822892904281616,1.961827290058136,860,36.3462
43,1.7554752826690674,1.7554752826690674,1.902071151137352,880,37.1292
44,1.8160457611083984,1.8160457611083984,1.8061103880405427,900,37.9042
45,1.6636168956756592,1.6636168956756592,1.8614121824502945,920,38.6919
46,1.6889734268188477,1.6889734268188477,1.9039824932813645,940,39.4843
47,1.6626240015029907,1.6626240015029907,2.194068765640259,960,40.4911
48,2.296988010406494,2.296988010406494,2.1603149294853212,980,41.3548
49,1.851668357849121,1.851668357849121,1.9797839999198914,1000,42.1926
50,1.5349026918411255,1.5349026918411255,1.719448783993721,1020,43.4438
51,1.9895788431167603,1.9895788431167603,1.7900897830724716,1040,44.3037
52,1.7141926288604736,1.7141926288604736,1.674867671728134,1060,45.1205
53,1.810153603553772,1.810153603553772,1.780064857006073,1080,45.9555
54,1.4540878534317017,1.4540878534317017,1.7022588193416595,1100,46.7604
55,1.6390336751937866,1.6390336751937866,1.727014061808586,1120,47.5428
56,1.4583582878112793,1.4583582878112793,1.5972577348351478,1140,48.3189
57,1.4015802145004272,1.4015802145004272,1.7452433198690414,1160,49.1364
58,1.3525679111480713,1.3525679111480713,1.5064417123794556,1180,49.9321
59,1.418990135192871,1.418990135192871,1.661126834154129,1200,50.7129
60,1.414419174194336,1.414419174194336,1.6544712752103805,1220,51.6034
61,1.5554401874542236,1.5554401874542236,1.6277162104845047,1240,52.4107
62,1.5003674030303955,1.5003674030303955,1.5719517409801482,1260,53.2037
63,1.542328119277954,1.542328119277954,1.6774541765451432,1280,54.0399
64,1.7840073108673096,1.7840073108673096,1.4846131592988967,1300,54.8235
65,1.3966578245162964,1.3966578245162964,1.4021710187196732,1320,55.6308
66,1.6218407154083252,1.6218407154083252,1.459758710861206,1340,56.4231
67,1.3204149007797241,1.3204149007797241,1.4980045437812806,1360,57.2309
68,1.1781489849090576,1.1781489849090576,1.3190474659204483,1380,58.0128
69,1.2731901407241821,1.2731901407241821,1.2795704528689384,1400,58.7991
70,1.2107640504837036,1.2107640504837036,1.4051232382655143,1420,59.6082
71,1.142975091934204,1.142975091934204,1.3040064990520477,1440,60.3883
72,1.1092361211776733,1.1092361211776733,1.2662347078323364,1460,61.2031
73,1.4424254894256592,1.4424254894256592,1.21479422301054,1480,62.0168
74,1.5240992307662964,1.5240992307662964,1.4606030970811843,1500,62.845
75,1.0877608060836792,1.0877608060836792,1.2665801599621773,1520,63.643
76,1.1881026029586792,1.1881026029586792,1.2118031561374665,1540,64.4495
77,1.0423612594604492,1.0423612594604492,1.2005896247923373,1560,65.3016
78,1.0860927104949951,1.0860927104949951,1.2455391988158226,1580,66.6896
79,1.17045259475708,1.17045259475708,1.1599148511886597,1600,67.8689
80,1.1291335821151733,1.1291335821151733,1.2068871229887008,1620,68.6966
81,1.2932144403457642,1.2932144403457642,1.1630353398621083,1640,70.099
82,1.0202579498291016,1.0202579498291016,1.2464033216238022,1660,70.9845
83,1.1249300241470337,1.1249300241470337,1.1048477470874787,1680,71.8637
84,0.9127402305603027,0.9127402305603027,1.0672551199793816,1700,72.8427
85,0.9972790479660034,0.9972790479660034,1.0251715645194053,1720,73.8297
86,1.2930899858474731,1.2930899858474731,1.1205681025981904,1740,74.7526
87,1.0467878580093384,1.0467878580093384,1.2467834696173667,1760,75.7252
88,1.1694772243499756,1.1694772243499756,1.339682289958,1780,76.8134
