index,T0_K,phi,trajectory_mse,status,is_training,is_held_out,is_additional
35,962.5,1.2000000000000002,0.06803790479898453,ok,False,False,True
36,962.5,1.25,0.06944437325000763,ok,False,False,True
37,962.5,1.3,0.07052566111087799,ok,False,False,True
38,962.5,1.35,0.07116162031888962,ok,False,False,True
39,962.5,1.4,0.07108084857463837,ok,False,False,True
40,962.5,1.4500000000000002,0.07007309794425964,ok,False,False,True
41,962.5,1.5,0.06859353929758072,ok,False,False,True
42,975.0,0.5,0.8697152137756348,ok,False,False,True
43,975.0,0.55,0.999070405960083,ok,False,False,True
44,975.0,0.6,1.3452870845794678,ok,False,False,True
45,975.0,0.65,1.5119833946228027,ok,False,False,True
46,975.0,0.7,1.5053640604019165,ok,False,False,True
47,975.0,0.75,1.3150177001953125,ok,False,False,True
48,975.0,0.8,0.9157251119613647,ok,False,False,True
49,975.0,0.8500000000000001,0.29404425621032715,ok,False,False,True
50,975.0,0.9,0.1264931708574295,ok,False,False,True
51,975.0,0.95,0.09721937775611877,ok,False,False,True
52,975.0,1.0,0.08197843283414841,ok,False,False,True
53,975.0,1.05,0.07505179941654205,ok,False,False,True
54,975.0,1.1,0.07348517328500748,ok,False,False,True
55,975.0,1.15,0.07579901814460754,ok,False,False,True
56,975.0,1.2000000000000002,0.08176928758621216,ok,False,False,True
57,975.0,1.25,0.09361117333173752,ok,False,False,True
58,975.0,1.3,0.12566272914409637,ok,False,False,True
59,975.0,1.35,0.3038678765296936,ok,False,False,True
60,975.0,1.4,0.4615660607814789,ok,False,False,True
61,975.0,1.4500000000000002,0.35286015272140503,ok,False,False,True
62,975.0,1.5,0.12507598102092743,ok,False,False,True
63,987.5,0.5,1.296708106994629,ok,False,False,True
64,987.5,0.55,1.3064332008361816,ok,False,False,True
65,987.5,0.6,1.4947293996810913,ok,False,False,True
66,987.5,0.65,1.6700966358184814,ok,False,False,True
67,987.5,0.7,1.7960808277130127,ok,False,False,True
68,987.5,0.75,1.8344489336013794,ok,False,False,True
69,987.5,0.8,1.808995246887207,ok,False,False,True
70,987.5,0.8500000000000001,1.7497230768203735,ok,False,False,True
71,987.5,0.9,1.6123862266540527,ok,False,False,True
72,987.5,0.95,1.5570604801177979,ok,False,False,True
73,987.5,1.0,1.569519281387329,ok,False,False,True
74,987.5,1.05,1.560141921043396,ok,False,False,True
75,987.5,1.1,1.5748934745788574,ok,False,False,True
76,987.5,1.15,1.5174267292022705,ok,False,False,True
77,987.5,1.2000000000000002,1.574906587600708,ok,False,False,True
78,987.5,1.25,1.7027215957641602,ok,False,False,True
79,987.5,1.3,1.9864706993103027,ok,False,False,True
80,987.5,1.35,2.200234889984131,ok,False,False,True
81,987.5,1.4,2.3039674758911133,ok,False,False,True
82,987.5,1.4500000000000002,2.2312302589416504,ok,False,False,True
83,987.5,1.5,1.8723853826522827,ok,False,False,True
84,1000.0,0.5,1.497368574142456,ok,True,False,False
85,1000.0,0.55,1.5239530801773071,ok,False,False,True
86,1000.0,0.6,1.6317591667175293,ok,False,False,True
87,1000.0,0.65,1.759261131286621,ok,False,False,True
88,1000.0,0.7,1.8618053197860718,ok,True,False,False
89,1000.0,0.75,1.9331302642822266,ok,False,False,True
90,1000.0,0.8,1.9830548763275146,ok,False,False,True
