epoch,total_loss,species_mse,pinn_loss,elapsed_seconds
50,8.018142700195312,8.018142700195312,9.16452691512859e-08,0.9738
51,8.017998695373535,8.017998695373535,9.44726252782857e-08,0.9914
52,8.017848014831543,8.017848014831543,9.760039176853752e-08,1.0521
53,8.017687797546387,8.017687797546387,1.0106804637644018e-07,1.0695
54,8.017515182495117,8.017515182495117,1.0488351875892477e-07,1.0872
55,8.017329216003418,8.017329216003418,1.0909990777463463e-07,1.1044
56,8.01712703704834,8.01712703704834,1.1375686881365255e-07,1.1219
57,8.016914367675781,8.016914367675781,1.1884890938063108e-07,1.1392
58,8.016691207885742,8.016691207885742,1.2430986373601627e-07,1.157
59,8.016458511352539,8.016458511352539,1.300586376373758e-07,1.1764
60,8.016216278076172,8.016216278076172,1.3598628356703557e-07,1.1959
61,8.015965461730957,8.015965461730957,1.4205993181803933e-07,1.2148
62,8.015701293945312,8.015701293945312,1.4821786464835895e-07,1.2335
63,8.015422821044922,8.015422821044922,1.5443595202668803e-07,1.2531
64,8.015128135681152,8.015128135681152,1.6065126828834764e-07,1.2725
65,8.014816284179688,8.014816284179688,1.6687745585386438e-07,1.2913
66,8.014490127563477,8.014490127563477,1.7323246481737442e-07,1.3103
67,8.014145851135254,8.014145851135254,1.7956431008769869e-07,1.3299
68,8.013789176940918,8.013789176940918,1.8620295350046945e-07,1.3488
69,8.013415336608887,8.013415336608887,1.931262403331857e-07,1.3677
70,8.01302433013916,8.01302433013916,2.0054280014392134e-07,1.3872
71,8.012614250183105,8.012614250183105,2.084459396201055e-07,1.4063
72,8.01218318939209,8.01218318939209,2.169463755308243e-07,1.4253
73,8.01173210144043,8.01173210144043,2.2607422067721927e-07,1.4445
74,8.011258125305176,8.011258125305176,2.3576642149691907e-07,1.4637
75,8.010762214660645,8.010762214660645,2.4582385549365426e-07,1.4822
76,8.010244369506836,8.010244369506836,2.565526813214092e-07,1.5011
77,8.009702682495117,8.009702682495117,2.6748844561552687e-07,1.5207
78,8.009137153625488,8.009137153625488,2.7870333951796056e-07,1.5397
79,8.008544921875,8.008544921875,2.8995609113735554e-07,1.5587
80,8.00792407989502,8.00792407989502,3.012347065123322e-07,1.578
81,8.007274627685547,8.007274627685547,3.1306936421060527e-07,1.597
82,8.006596565246582,8.006596565246582,3.249228370805213e-07,1.6159
83,8.00588607788086,8.00588607788086,3.376502775154222e-07,1.6354
84,8.005145072937012,8.005145072937012,3.5033437484344176e-07,1.6552
85,8.00437068939209,8.00437068939209,3.6401684155862313e-07,1.6746
86,8.003559112548828,8.003559112548828,3.7800205632265715e-07,1.6939
87,8.002707481384277,8.002707481384277,3.932315166821354e-07,1.7134
88,8.001741409301758,8.001741409301758,4.096015686627652e-07,1.7398
89,8.000828742980957,8.000828742980957,4.2589101667545037e-07,1.7638
90,7.999897480010986,7.999897003173828,4.4226817408343777e-07,1.7875
91,7.998891353607178,7.9988908767700195,4.5907802359579364e-07,1.8089
