model,seed,split,metric,epoch,loss_timesummed,display_divisor,metric_convention,source_path,record_type
original,0,train,total_loss,76,5.509420871734619,30.0,sum over 30 observation times; mean over species and trajectories; train-only min-max normalization; complete trajectory from original initial conditions,results/reproduction/chemkan/biodiesel/noise/clean_replay_seed0/history.csv,history
original,0,train,total_loss,77,5.417876243591309,30.0,sum over 30 observation times; mean over species and trajectories; train-only min-max normalization; complete trajectory from original initial conditions,results/reproduction/chemkan/biodiesel/noise/clean_replay_seed0/history.csv,history
original,0,train,total_loss,78,5.3580732345581055,30.0,sum over 30 observation times; mean over species and trajectories; train-only min-max normalization; complete trajectory from original initial conditions,results/reproduction/chemkan/biodiesel/noise/clean_replay_seed0/history.csv,history
original,0,train,total_loss,79,5.321292877197266,30.0,sum over 30 observation times; mean over species and trajectories; train-only min-max normalization; complete trajectory from original initial conditions,results/reproduction/chemkan/biodiesel/noise/clean_replay_seed0/history.csv,history
original,0,train,total_loss,80,5.2968974113464355,30.0,sum over 30 observation times; mean over species and trajectories; train-only min-max normalization; complete trajectory from original initial conditions,results/reproduction/chemkan/biodiesel/noise/clean_replay_seed0/history.csv,history
original,0,train,total_loss,81,5.27495813369751,30.0,sum over 30 observation times; mean over species and trajectories; train-only min-max normalization; complete trajectory from original initial conditions,results/reproduction/chemkan/biodiesel/noise/clean_replay_seed0/history.csv,history
original,0,train,total_loss,82,5.248270034790039,30.0,sum over 30 observation times; mean over species and trajectories; train-only min-max normalization; complete trajectory from original initial conditions,results/reproduction/chemkan/biodiesel/noise/clean_replay_seed0/history.csv,history
original,0,train,total_loss,83,5.213326930999756,30.0,sum over 30 observation times; mean over species and trajectories; train-only min-max normalization; complete trajectory from original initial conditions,results/reproduction/chemkan/biodiesel/noise/clean_replay_seed0/history.csv,history
original,0,train,total_loss,84,5.170262336730957,30.0,sum over 30 observation times; mean over species and trajectories; train-only min-max normalization; complete trajectory from original initial conditions,results/reproduction/chemkan/biodiesel/noise/clean_replay_seed0/history.csv,history
original,0,train,total_loss,85,5.121956825256348,30.0,sum over 30 observation times; mean over species and trajectories; train-only min-max normalization; complete trajectory from original initial conditions,results/reproduction/chemkan/biodiesel/noise/clean_replay_seed0/history.csv,history
original,0,train,total_loss,86,5.0727057456970215,30.0,sum over 30 observation times; mean over species and trajectories; train-only min-max normalization; complete trajectory from original initial conditions,results/reproduction/chemkan/biodiesel/noise/clean_replay_seed0/history.csv,history
original,0,train,total_loss,87,5.026832103729248,30.0,sum over 30 observation times; mean over species and trajectories; train-only min-max normalization; complete trajectory from original initial conditions,results/reproduction/chemkan/biodiesel/noise/clean_replay_seed0/history.csv,history
original,0,train,total_loss,88,4.987550258636475,30.0,sum over 30 observation times; mean over species and trajectories; train-only min-max normalization; complete trajectory from original initial conditions,results/reproduction/chemkan/biodiesel/noise/clean_replay_seed0/history.csv,history
original,0,train,total_loss,89,4.956334590911865,30.0,sum over 30 observation times; mean over species and trajectories; train-only min-max normalization; complete trajectory from original initial conditions,results/reproduction/chemkan/biodiesel/noise/clean_replay_seed0/history.csv,history
original,0,train,total_loss,90,4.932817459106445,30.0,sum over 30 observation times; mean over species and trajectories; train-only min-max normalization; complete trajectory from original initial conditions,results/reproduction/chemkan/biodiesel/noise/clean_replay_seed0/history.csv,history
original,0,train,total_loss,91,4.915149688720703,30.0,sum over 30 observation times; mean over species and trajectories; train-only min-max normalization; complete trajectory from original initial conditions,results/reproduction/chemkan/biodiesel/noise/clean_replay_seed0/history.csv,history
original,0,train,total_loss,92,4.900692939758301,30.0,sum over 30 observation times; mean over species and trajectories; train-only min-max normalization; complete trajectory from original initial conditions,results/reproduction/chemkan/biodiesel/noise/clean_replay_seed0/history.csv,history
original,0,train,total_loss,93,4.886744976043701,30.0,sum over 30 observation times; mean over species and trajectories; train-only min-max normalization; complete trajectory from original initial conditions,results/reproduction/chemkan/biodiesel/noise/clean_replay_seed0/history.csv,history
original,0,train,total_loss,94,4.871196269989014,30.0,sum over 30 observation times; mean over species and trajectories; train-only min-max normalization; complete trajectory from original initial conditions,results/reproduction/chemkan/biodiesel/noise/clean_replay_seed0/history.csv,history
original,0,train,total_loss,95,4.852892875671387,30.0,sum over 30 observation times; mean over species and trajectories; train-only min-max normalization; complete trajectory from original initial conditions,results/reproduction/chemkan/biodiesel/noise/clean_replay_seed0/history.csv,history
original,0,train,total_loss,96,4.831770420074463,30.0,sum over 30 observation times; mean over species and trajectories; train-only min-max normalization; complete trajectory from original initial conditions,results/reproduction/chemkan/biodiesel/noise/clean_replay_seed0/history.csv,history
original,0,train,total_loss,97,4.808652400970459,30.0,sum over 30 observation times; mean over species and trajectories; train-only min-max normalization; complete trajectory from original initial conditions,results/reproduction/chemkan/biodiesel/noise/clean_replay_seed0/history.csv,history
original,0,train,total_loss,98,4.784955024719238,30.0,sum over 30 observation times; mean over species and trajectories; train-only min-max normalization; complete trajectory from original initial conditions,results/reproduction/chemkan/biodiesel/noise/clean_replay_seed0/history.csv,history
original,0,train,total_loss,99,4.762213706970215,30.0,sum over 30 observation times; mean over species and trajectories; train-only min-max normalization; complete trajectory from original initial conditions,results/reproduction/chemkan/biodiesel/noise/clean_replay_seed0/history.csv,history
original,0,train,total_loss,100,4.74173641204834,30.0,sum over 30 observation times; mean over species and trajectories; train-only min-max normalization; complete trajectory from original initial conditions,results/reproduction/chemkan/biodiesel/noise/clean_replay_seed0/history.csv,history
original,0,train,total_loss,101,4.724291801452637,30.0,sum over 30 observation times; mean over species and trajectories; train-only min-max normalization; complete trajectory from original initial conditions,results/reproduction/chemkan/biodiesel/noise/clean_replay_seed0/history.csv,history
original,0,train,total_loss,102,4.710009574890137,30.0,sum over 30 observation times; mean over species and trajectories; train-only min-max normalization; complete trajectory from original initial conditions,results/reproduction/chemkan/biodiesel/noise/clean_replay_seed0/history.csv,history
