time_s,species,clean_reference,full_rollout
0.4,ROH,1.3863337274886052,1.3853505849838257
0.4,DG,0.039836801900958674,0.041591573506593704
0.4,MG,0.0018727424688618404,0.002679521916434169
0.4,GL,2.79952242375206e-05,-0.0014317844761535525
0.4,RCO2R,0.04366627251139491,0.04459362104535103
0.45,TG,1.8931992209316921,1.8915342092514038
0.45,ROH,1.38077471201293,1.3796281814575195
0.45,DG,0.044415705102875534,0.04639764502644539
0.45,MG,0.0023456390121037018,0.0032286306377500296
0.45,GL,3.9434953329110677e-05,-0.0015628262190148234
0.45,RCO2R,0.04922528798707026,0.050300899893045425
0.5,TG,1.888169783735592,1.8863165378570557
0.5,ROH,1.375196860707993,1.3738762140274048
0.5,DG,0.0489108102833192,0.051117971539497375
0.5,MG,0.002865888934580554,0.0038217988330870867
0.5,GL,5.351704650896138e-05,-0.0016832209657877684
0.5,RCO2R,0.054803139292007176,0.05603218823671341
0.55,TG,1.8831740176580227,1.8811269998550415
0.55,ROH,1.3696011880041523,1.3681023120880127
0.55,DG,0.053323623170198974,0.05575338751077652
0.55,MG,0.0034318886896878157,0.0044578867964446545
0.55,GL,7.04704820909952e-05,-0.0017929787281900644
0.55,RCO2R,0.06039881199584759,0.06178584322333336
0.6000000000000001,TG,1.8782117887983836,1.8759716749191284
0.6000000000000001,ROH,1.363988690307298,1.3623055219650269
0.6000000000000001,DG,0.05765562527694283,0.060304686427116394
0.6000000000000001,MG,0.004042073358262824,0.00513572059571743
0.6000000000000001,GL,9.051256641114958e-05,-0.0018921224400401115
0.6000000000000001,RCO2R,0.06601130969270193,0.0675603449344635
0.65,TG,1.873282960627026,1.870850682258606
0.65,ROH,1.3583603461177631,1.3564873933792114
0.65,DG,0.06190827413183185,0.06477273255586624
0.65,MG,0.004694915973023479,0.005854115821421146
0.65,GL,0.00011384926811930504,-0.0019806837663054466
0.65,RCO2R,0.07163965388223671,0.07335419952869415
0.7000000000000001,TG,1.8683873940947053,1.8657644987106323
0.7000000000000001,ROH,1.3527171161559508,1.3506494760513306
0.7000000000000001,DG,0.06608300351363518,0.06915844976902008
0.7000000000000001,MG,0.00538892684456643,0.006611878518015146
0.7000000000000001,GL,0.00014067554709370833,-0.002058702288195491
0.7000000000000001,RCO2R,0.07728288384404913,0.07916594296693802
0.75,TG,1.8635249477396771,1.8607133626937866
0.75,ROH,1.3470599434939208,1.3447933197021484
0.75,DG,0.0701812236926286,0.0734628215432167
0.75,MG,0.006122652889633979,0.007407801225781441
0.75,GL,0.00017117567806082542,-0.0021262255031615496
0.75,RCO2R,0.08294005650607901,0.0849941298365593
0.8,TG,1.8586954777923987,1.8556913137435913
0.8,ROH,1.3413897536927537,1.3389227390289307
0.8,DG,0.07420432167668874,0.0776868388056755
0.8,MG,0.006894676962181258,0.008240650407969952
0.8,GL,0.0002055235687315716,-0.0021833041682839394
0.8,RCO2R,0.08861024630724593,0.09083712846040726
0.8500000000000001,TG,1.853898838277872,1.850708246231079
0.8500000000000001,ROH,1.3357074549452799,1.3330353498458862
0.8500000000000001,DG,0.07815366146193244,0.08183158189058304
0.8500000000000001,MG,0.007703617187799973,0.009109266102313995
0.8500000000000001,GL,0.00024388307239588851,-0.002229998353868723
0.8500000000000001,RCO2R,0.09429254505472001,0.0966939628124237
0.9,TG,1.8491348811155988,1.8457598686218262
0.9,ROH,1.3300139382246392,1.3271340131759644
0.9,DG,0.08203058428852497,0.08589813113212585
0.9,MG,0.00854812630079498,0.010012432001531124
0.9,GL,0.0002864082950818388,-0.0022663651034235954
0.9,RCO2R,0.0999860617753604,0.10256320238113403
0.9500000000000001,TG,1.844403456217325,1.8408465385437012
