method,seed,interval,t_start_s,t_end_s,species,mean_normalized_squared_endpoint_error
original,1,10,10.344827651977539,11.379310607910156,ROH,6.475755981227849e-06
original,1,10,10.344827651977539,11.379310607910156,DG,2.5692163035273552e-05
original,1,10,10.344827651977539,11.379310607910156,MG,7.875105438870378e-06
original,1,10,10.344827651977539,11.379310607910156,GL,2.963902079500258e-05
original,1,10,10.344827651977539,11.379310607910156,RCO2R,6.0135230341984425e-06
original,1,11,11.379310607910156,12.413793563842773,TG,5.062188392912503e-06
original,1,11,11.379310607910156,12.413793563842773,ROH,7.132381142582744e-06
original,1,11,11.379310607910156,12.413793563842773,DG,2.048975511570461e-05
original,1,11,11.379310607910156,12.413793563842773,MG,6.543416930071544e-06
original,1,11,11.379310607910156,12.413793563842773,GL,2.756043613771908e-05
original,1,11,11.379310607910156,12.413793563842773,RCO2R,5.541941391129512e-06
original,1,12,12.413793563842773,13.448275566101074,TG,5.293369667924708e-06
original,1,12,12.413793563842773,13.448275566101074,ROH,8.248784979514312e-06
original,1,12,12.413793563842773,13.448275566101074,DG,1.6232756024692208e-05
original,1,12,12.413793563842773,13.448275566101074,MG,6.585937626368832e-06
original,1,12,12.413793563842773,13.448275566101074,GL,2.534357554395683e-05
original,1,12,12.413793563842773,13.448275566101074,RCO2R,5.666727702191565e-06
original,1,13,13.448275566101074,14.482758522033691,TG,5.612011591438204e-06
original,1,13,13.448275566101074,14.482758522033691,ROH,9.704242984298617e-06
original,1,13,13.448275566101074,14.482758522033691,DG,1.3593341464002151e-05
original,1,13,13.448275566101074,14.482758522033691,MG,7.523279236920644e-06
original,1,13,13.448275566101074,14.482758522033691,GL,2.334560122108087e-05
original,1,13,13.448275566101074,14.482758522033691,RCO2R,6.31601142231375e-06
original,1,14,14.482758522033691,15.517241477966309,TG,6.001207111694384e-06
original,1,14,14.482758522033691,15.517241477966309,ROH,1.1392442502256017e-05
original,1,14,14.482758522033691,15.517241477966309,DG,1.279546722798841e-05
original,1,14,14.482758522033691,15.517241477966309,MG,8.996947144623846e-06
original,1,14,14.482758522033691,15.517241477966309,GL,2.1806947188451886e-05
original,1,14,14.482758522033691,15.517241477966309,RCO2R,7.397868557745824e-06
original,1,15,15.517241477966309,16.55172348022461,TG,6.4424762058479246e-06
original,1,15,15.517241477966309,16.55172348022461,ROH,1.3222927009337582e-05
original,1,15,15.517241477966309,16.55172348022461,DG,1.3787413990939967e-05
original,1,15,15.517241477966309,16.55172348022461,MG,1.075065756594995e-05
original,1,15,15.517241477966309,16.55172348022461,GL,2.085791675199289e-05
original,1,15,15.517241477966309,16.55172348022461,RCO2R,8.814855391392484e-06
original,1,16,16.55172348022461,17.586206436157227,TG,6.9182365223241504e-06
original,1,16,16.55172348022461,17.586206436157227,ROH,1.512094331701519e-05
original,1,16,16.55172348022461,17.586206436157227,DG,1.636709384911228e-05
original,1,16,16.55172348022461,17.586206436157227,MG,1.2610393241629936e-05
original,1,16,16.55172348022461,17.586206436157227,GL,2.0540537661872804e-05
original,1,16,16.55172348022461,17.586206436157227,RCO2R,1.0474241207703017e-05
original,1,17,17.586206436157227,18.620689392089844,TG,7.413627372443443e-06
original,1,17,17.586206436157227,18.620689392089844,ROH,1.7028365618898533e-05
original,1,17,17.586206436157227,18.620689392089844,DG,2.0277384464861825e-05
original,1,17,17.586206436157227,18.620689392089844,MG,1.4463311345025431e-05
original,1,17,17.586206436157227,18.620689392089844,GL,2.0839641365455464e-05
original,1,17,17.586206436157227,18.620689392089844,RCO2R,1.2293850886635482e-05
original,1,18,18.620689392089844,19.65517234802246,TG,7.91613547335146e-06
original,1,18,18.620689392089844,19.65517234802246,ROH,1.890059320430737e-05
original,1,18,18.620689392089844,19.65517234802246,DG,2.52465015364578e-05
original,1,18,18.620689392089844,19.65517234802246,MG,1.6239691831287928e-05
original,1,18,18.620689392089844,19.65517234802246,GL,2.170509469578974e-05
original,1,18,18.620689392089844,19.65517234802246,RCO2R,1.4204418221197557e-05
original,1,19,19.65517234802246,20.689655303955078,TG,8.416179298365023e-06
original,1,19,19.65517234802246,20.689655303955078,ROH,2.0705077986349352e-05
original,1,19,19.65517234802246,20.689655303955078,DG,3.1014817068353295e-05
original,1,19,19.65517234802246,20.689655303955078,MG,1.7900880266097374e-05
original,1,19,19.65517234802246,20.689655303955078,GL,2.3070148017723113e-05
original,1,19,19.65517234802246,20.689655303955078,RCO2R,1.6151259842445143e-05
original,1,20,20.689655303955078,21.724138259887695,TG,8.906381481210701e-06
original,1,20,20.689655303955078,21.724138259887695,ROH,2.2420113964471966e-05
original,1,20,20.689655303955078,21.724138259887695,DG,3.735145946848206e-05
original,1,20,20.689655303955078,21.724138259887695,MG,1.9429586245678365e-05
original,1,20,20.689655303955078,21.724138259887695,GL,2.4863320504664443e-05
original,1,20,20.689655303955078,21.724138259887695,RCO2R,1.8091124729835428e-05
original,1,21,21.724138259887695,22.758621215820312,TG,9.381643394590355e-06
original,1,21,21.724138259887695,22.758621215820312,ROH,2.4031665816437453e-05
original,1,21,21.724138259887695,22.758621215820312,DG,4.405097206472419e-05
original,1,21,21.724138259887695,22.758621215820312,MG,2.0820729332626797e-05
original,1,21,21.724138259887695,22.758621215820312,GL,2.7014679290005006e-05
original,1,21,21.724138259887695,22.758621215820312,RCO2R,1.9992905436083674e-05
original,1,22,22.758621215820312,23.79310417175293,TG,9.838461664912757e-06
original,1,22,22.758621215820312,23.79310417175293,ROH,2.5532188374199905e-05
original,1,22,22.758621215820312,23.79310417175293,DG,5.094615698908456e-05
original,1,22,22.758621215820312,23.79310417175293,MG,2.2078183974372223e-05
original,1,22,22.758621215820312,23.79310417175293,GL,2.9460181394824758e-05
original,1,22,22.758621215820312,23.79310417175293,RCO2R,2.183319338655565e-05
original,1,23,23.79310417175293,24.827587127685547,TG,1.0274814485455863e-05
original,1,23,23.79310417175293,24.827587127685547,ROH,2.6919247829937376e-05
original,1,23,23.79310417175293,24.827587127685547,DG,5.789562055724673e-05
original,1,23,23.79310417175293,24.827587127685547,MG,2.32117272389587e-05
original,1,23,23.79310417175293,24.827587127685547,GL,3.2143707358045503e-05
original,1,23,23.79310417175293,24.827587127685547,RCO2R,2.359743302804418e-05
original,1,24,24.827587127685547,25.86206817626953,TG,1.0689192095014732e-05
original,1,24,24.827587127685547,25.86206817626953,ROH,2.8193022444611415e-05
original,1,24,24.827587127685547,25.86206817626953,DG,6.478667637566105e-05
original,1,24,24.827587127685547,25.86206817626953,MG,2.4232369469245896e-05
original,1,24,24.827587127685547,25.86206817626953,GL,3.5015935281990096e-05
original,1,24,24.827587127685547,25.86206817626953,RCO2R,2.5274846848333254e-05
original,1,25,25.86206817626953,26.89655113220215,TG,1.1081591765105259e-05
original,1,25,25.86206817626953,26.89655113220215,ROH,2.935746670118533e-05
original,1,25,25.86206817626953,26.89655113220215,DG,7.153722981456667e-05
original,1,25,25.86206817626953,26.89655113220215,MG,2.5153436581604183e-05
original,1,25,25.86206817626953,26.89655113220215,GL,3.8035337638575584e-05
original,1,25,25.86206817626953,26.89655113220215,RCO2R,2.6860981961362995e-05
original,1,26,26.89655113220215,27.931034088134766,TG,1.1451886166469194e-05
original,1,26,26.89655113220215,27.931034088134766,ROH,3.0417024390771985e-05
original,1,26,26.89655113220215,27.931034088134766,DG,7.80760237830691e-05
original,1,26,26.89655113220215,27.931034088134766,MG,2.598701394163072e-05
original,1,26,26.89655113220215,27.931034088134766,GL,4.116625859751366e-05
original,1,26,26.89655113220215,27.931034088134766,RCO2R,2.8353199013508856e-05
original,1,27,27.931034088134766,28.965517044067383,TG,1.1800530046457425e-05
original,1,27,27.931034088134766,28.965517044067383,ROH,3.137768362648785e-05
original,1,27,27.931034088134766,28.965517044067383,DG,8.43599482323043e-05
original,1,27,27.931034088134766,28.965517044067383,MG,2.6744441129267216e-05
original,1,27,27.931034088134766,28.965517044067383,GL,4.437952156877145e-05
original,1,27,27.931034088134766,28.965517044067383,RCO2R,2.9751818146905862e-05
original,1,28,28.965517044067383,30.0,TG,1.2128604794270359e-05
original,1,28,28.965517044067383,30.0,ROH,3.224619649699889e-05
original,1,28,28.965517044067383,30.0,DG,9.035748371388763e-05
original,1,28,28.965517044067383,30.0,MG,2.743726145126857e-05
original,1,28,28.965517044067383,30.0,GL,4.7649573389207944e-05
original,1,28,28.965517044067383,30.0,RCO2R,3.105837822658941e-05
original,2,0,0.0,1.034482717514038,TG,0.00011218523286515847
original,2,0,0.0,1.034482717514038,ROH,6.848947668913752e-05
original,2,0,0.0,1.034482717514038,DG,0.002827654592692852
original,2,0,0.0,1.034482717514038,MG,0.0010686381720006466
original,2,0,0.0,1.034482717514038,GL,8.347508264705539e-05
original,2,0,0.0,1.034482717514038,RCO2R,0.00011440176604082808
original,2,1,1.034482717514038,2.068965435028076,TG,6.641529034823179e-05
original,2,1,1.034482717514038,2.068965435028076,ROH,6.204201781656593e-05
original,2,1,1.034482717514038,2.068965435028076,DG,0.0016132246237248182
original,2,1,1.034482717514038,2.068965435028076,MG,0.0003019553842023015
original,2,1,1.034482717514038,2.068965435028076,GL,0.0001124176342273131
original,2,1,1.034482717514038,2.068965435028076,RCO2R,8.53653546073474e-05
original,2,2,2.068965435028076,3.1034483909606934,TG,4.0332401113118976e-05
original,2,2,2.068965435028076,3.1034483909606934,ROH,5.527502435143106e-05
original,2,2,2.068965435028076,3.1034483909606934,DG,0.0007994117913767695
original,2,2,2.068965435028076,3.1034483909606934,MG,0.0002725564409047365
original,2,2,2.068965435028076,3.1034483909606934,GL,6.535318243550137e-05
original,2,2,2.068965435028076,3.1034483909606934,RCO2R,7.129011646611616e-05
original,2,3,3.1034483909606934,4.137930870056152,TG,2.204068368882872e-05
original,2,3,3.1034483909606934,4.137930870056152,ROH,4.392334813019261e-05
original,2,3,3.1034483909606934,4.137930870056152,DG,0.0003596231690607965
original,2,3,3.1034483909606934,4.137930870056152,MG,0.0002402320969849825
original,2,3,3.1034483909606934,4.137930870056152,GL,3.183290027664043e-05
original,2,3,3.1034483909606934,4.137930870056152,RCO2R,5.7443463447270915e-05
original,2,4,4.137930870056152,5.1724138259887695,TG,1.1522351996973157e-05
original,2,4,4.137930870056152,5.1724138259887695,ROH,3.161195127177052e-05
original,2,4,4.137930870056152,5.1724138259887695,DG,0.00018841626297216862
original,2,4,4.137930870056152,5.1724138259887695,MG,0.00016980560030788183
original,2,4,4.137930870056152,5.1724138259887695,GL,2.9828312108293176e-05
original,2,4,4.137930870056152,5.1724138259887695,RCO2R,4.297268606023863e-05
original,2,5,5.1724138259887695,6.206896781921387,TG,6.689007477689302e-06
original,2,5,5.1724138259887695,6.206896781921387,ROH,2.1214864318608306e-05
original,2,5,5.1724138259887695,6.206896781921387,DG,0.0001411644770996645
original,2,5,5.1724138259887695,6.206896781921387,MG,0.00010279806156177074
original,2,5,5.1724138259887695,6.206896781921387,GL,4.149328015046194e-05
original,2,5,5.1724138259887695,6.206896781921387,RCO2R,2.9941831598989666e-05
original,2,6,6.206896781921387,7.241379261016846,TG,5.199796760280151e-06
original,2,6,6.206896781921387,7.241379261016846,ROH,1.3841892723576166e-05
original,2,6,6.206896781921387,7.241379261016846,DG,0.00013584787666331977
original,2,6,6.206896781921387,7.241379261016846,MG,5.7207729696528986e-05
original,2,6,6.206896781921387,7.241379261016846,GL,5.231289105722681e-05
original,2,6,6.206896781921387,7.241379261016846,RCO2R,1.9704948499565944e-05
original,2,7,7.241379261016846,8.275861740112305,TG,5.422714821179397e-06
original,2,7,7.241379261016846,8.275861740112305,ROH,9.49624791246606e-06
original,2,7,7.241379261016846,8.275861740112305,DG,0.0001397466694470495
original,2,7,7.241379261016846,8.275861740112305,MG,3.2532909244764596e-05
original,2,7,7.241379261016846,8.275861740112305,GL,5.686828080797568e-05
original,2,7,7.241379261016846,8.275861740112305,RCO2R,1.2571426850627176e-05
original,2,8,8.275861740112305,9.310344696044922,TG,6.412151378754061e-06
original,2,8,8.275861740112305,9.310344696044922,ROH,7.699990419496316e-06
original,2,8,8.275861740112305,9.310344696044922,DG,0.0001431706768926233
original,2,8,8.275861740112305,9.310344696044922,MG,2.237074113509152e-05
original,2,8,8.275861740112305,9.310344696044922,GL,5.527804751181975e-05
original,2,8,8.275861740112305,9.310344696044922,RCO2R,8.227194484788924e-06
original,2,9,9.310344696044922,10.344827651977539,TG,7.672802894376218e-06
original,2,9,9.310344696044922,10.344827651977539,ROH,7.850450856494717e-06
original,2,9,9.310344696044922,10.344827651977539,DG,0.00014472127077169716
original,2,9,9.310344696044922,10.344827651977539,MG,2.0557779862429015e-05
